"","id10","N","dec10","grp10","anio","comuna"
"144","I501",1,"Insuficiencia ventricular izquierda","",2001,"Quintero"
"145","I509",20,"Insuficiencia cardiaca, no especificada","",2001,"Quintero"
"146","I516",1,"Enfermedad cardiovascular, no especificada","",2001,"Quintero"
"147","I519",10,"Enfermedad cardiaca, no especificada","",2001,"Quintero"
"148","I619",5,"Hemorragia intraencefalica, no especificada","",2001,"Quintero"
"149","I620",1,"Hemorragia subdural (aguda) (no traumatica)","",2001,"Quintero"
"150","I629",1,"Hemorragia intracraneal (no traumatica), no especificada","",2001,"Quintero"
"151","I678",15,"Otras enfermedades cerebrovasculares especificadas","",2001,"Quintero"
"152","I679",1,"Enfermedad cerebrovascular, no especificada","",2001,"Quintero"
"153","I718",1,"Ruptura de aneurisma aortico, sitio no especificado","",2001,"Quintero"
"154","I739",1,"Enfermedad vascular periferica, no especificada","",2001,"Quintero"
"155","I809",1,"Flebitis y tromboflebitis de sitio no especificado","",2001,"Quintero"
"156","I829",2,"Embolia y trombosis de vena no especificada","",2001,"Quintero"
"157","I830",3,"Venas varicosas de los miembros inferiores con ulcera","",2001,"Quintero"
"158","I831",1,"Venas varicosas de los miembros inferiores con inflamacion","",2001,"Quintero"
"159","I832",1,"Venas varicosas de los miembros inferiores con ulcera e inflamacion","",2001,"Quintero"
"160","I839",7,"Venas varicosas de los miembros inferiores sin ulcera ni inflamacion","",2001,"Quintero"
"161","I843",1,"Hemorroides externas trombosadas","",2001,"Quintero"
"162","I848",1,"Hemorroides no especificadas, con otras complicaciones","",2001,"Quintero"
"163","I849",2,"Hemorroides no especificadas, sin complicacion","",2001,"Quintero"
"164","I861",1,"Varices escrotales","",2001,"Quintero"
"165","I879",1,"Trastorno venoso, no especificado","",2001,"Quintero"
"166","I880",1,"Linfadenitis mesenterica inespecifica","",2001,"Quintero"
"167","I889",1,"Linfadenitis inespecifica no especificada","",2001,"Quintero"
"168","J019",1,"Sinusitis aguda, no especificada","",2001,"Quintero"
"169","J029",1,"Faringitis aguda, no especificada","",2001,"Quintero"
"170","J050",3,"Laringitis obstructiva, aguda [crup]","",2001,"Quintero"
"171","J110",1,"Influenza con neumonia, virus no identificado","",2001,"Quintero"
"172","J129",1,"Neumonia viral, no especificada","",2001,"Quintero"
"173","J157",1,"Neumonia debida a mycoplasma pneumoniae","",2001,"Quintero"
"174","J159",1,"Neumonia bacteriana, no especificada","",2001,"Quintero"
"175","J180",27,"Bronconeumonia, no especificada","",2001,"Quintero"
"176","J181",2,"Neumonia lobar, no especificada","",2001,"Quintero"
"177","J189",77,"Neumonia, no especificada","",2001,"Quintero"
"178","J209",24,"Bronquitis aguda, no especificada","",2001,"Quintero"
"179","J219",3,"Bronquiolitis aguda, no especificada","",2001,"Quintero"
"180","J342",5,"Desviacion del tabique nasal","",2001,"Quintero"
"181","J350",2,"Amigdalitis cronica","",2001,"Quintero"
"182","J351",1,"Hipertrofia de las amigdalas","",2001,"Quintero"
"183","J353",8,"Hipertrofia de las amigdalas con hipertrofia de las adenoides","",2001,"Quintero"
"184","J358",3,"Otras enfermedades cronicas de las amigdalas y de las adenoides","",2001,"Quintero"
"185","J381",1,"Polipo de las cuerdas vocales y de la laringe","",2001,"Quintero"
"186","J448",15,"Otras enfermedades pulmonares obstructivas cronicas especificadas","",2001,"Quintero"
"187","J449",6,"Enfermedad pulmonar obstructiva cronica, no especificada","",2001,"Quintero"
"188","J459",2,"Asma, no especificada","",2001,"Quintero"
"189","J690",1,"Neumonitis debida a aspiracion de alimento o vomito","",2001,"Quintero"
"190","J841",1,"Otras enfermedades pulmonares intersticiales con fibrosis","",2001,"Quintero"
"191","J869",2,"Piotorax sin fistula","",2001,"Quintero"
"192","J930",1,"Neumotorax espontaneo a presion","",2001,"Quintero"
"193","J960",1,"Insuficiencia respiratoria aguda","",2001,"Quintero"
"194","J984",5,"Otros trastornos del pulmon","",2001,"Quintero"
"195","J988",1,"Otros trastornos respiratorios especificados","",2001,"Quintero"
"196","K047",3,"Absceso periapical sin fistula","",2001,"Quintero"
"197","K100",1,"Trastornos del desarrollo de los maxilares","",2001,"Quintero"
"198","K116",1,"Mucocele de glandula salival","",2001,"Quintero"
"199","K210",1,"Enfermedad del reflujo gastroesofagico con esofagitis","",2001,"Quintero"
"200","K219",1,"Enfermedad del reflujo gastroesofagico sin esofagitis","",2001,"Quintero"
"201","K259",3,"Ulcera gastrica no especificada como aguda ni cronica, sin hemorragia ni perforacion","",2001,"Quintero"
"202","K264",1,"Ulcera duodenal cronica o no especificada, con hemorragia","",2001,"Quintero"
"203","K271",1,"Ulcera peptica, de sitio no especificado aguda con perforacion","",2001,"Quintero"
"204","K291",3,"Otras gastritis agudas","",2001,"Quintero"
"205","K314",1,"Diverticulo gastrico","",2001,"Quintero"
"206","K350",3,"Apendicitis aguda con peritonitis generalizada","",2001,"Quintero"
"207","K351",1,"Apendicitis aguda con absceso peritoneal","",2001,"Quintero"
"208","K359",36,"Apendicitis aguda, no especificada","",2001,"Quintero"
"209","K402",1,"Hernia inguinal bilateral, sin obstruccion ni gangrena","",2001,"Quintero"
"210","K409",28,"Hernia inguinal unilateral o no especificada, sin obstrucion ni gangrena","",2001,"Quintero"
"211","K419",2,"Hernia femoral unilateral o no especificada, sin obstruccion ni gangrena","",2001,"Quintero"
"212","K429",4,"Hernia umbilical sin obstruccion ni gangrena","",2001,"Quintero"
"213","K439",12,"Hernia ventral sin obstruccion ni gangrena","",2001,"Quintero"
"214","K449",2,"Hernia diafragmatica sin obstruccion ni gangrena","",2001,"Quintero"
"215","K529",6,"Colitis y gastroenteritis no infecciosas, no especificadas","",2001,"Quintero"
"216","K552",1,"Angiodisplasia del colon","",2001,"Quintero"
"217","K564",1,"Otras obstrucciones del intestino","",2001,"Quintero"
"218","K566",2,"Otras obstrucciones intestinales y las no especificadas","",2001,"Quintero"
"219","K571",1,"Enfermedad diverticular del intestino delgado sin perforacion ni absceso","",2001,"Quintero"
"220","K579",2,"Enfermedad diverticular del intestino, parte no especificada, sin perforacion ni absceso","",2001,"Quintero"
"221","K590",3,"Constipacion","",2001,"Quintero"
"222","K599",1,"Trastorno funcional intestinal, no especificado","",2001,"Quintero"
"223","K610",1,"Absceso anal","",2001,"Quintero"
"224","K624",1,"Estenosis del ano y del recto","",2001,"Quintero"
"225","K625",2,"Hemorragia del ano y del recto","",2001,"Quintero"
"226","K626",1,"Ulcera del ano y del recto","",2001,"Quintero"
"227","K628",3,"Otras enfermedades especificadas del ano y del recto","",2001,"Quintero"
"228","K650",2,"Peritonitis aguda","",2001,"Quintero"
"229","K659",1,"Peritonitis, no especificada","",2001,"Quintero"
"230","K703",4,"Cirrosis hepatica alcoholica","",2001,"Quintero"
"231","K709",5,"Enfermedad hepatica alcoholica, no especificada","",2001,"Quintero"
"232","K719",1,"Enfermedad toxica del higado, no especificada","",2001,"Quintero"
"233","K720",3,"Insuficiencia hepatica aguda o subaguda","",2001,"Quintero"
"234","K746",7,"Otras cirrosis del higado y la no especificadas","",2001,"Quintero"
"235","K750",1,"Absceso del higado","",2001,"Quintero"
"236","K800",2,"Calculo de la vesicula biliar con colecistitis aguda","",2001,"Quintero"
"237","K801",3,"Calculo de la vesicula biliar con otra colecistitis","",2001,"Quintero"
"238","K802",25,"Calculo de la vesicula biliar sin colecistitis","",2001,"Quintero"
"239","K804",3,"Calculo de conducto biliar con colecistitis","",2001,"Quintero"
"240","K805",13,"Calculo de conducto biliar sin colangitis ni colecistitis","",2001,"Quintero"
"241","K810",16,"Colecistitis aguda","",2001,"Quintero"
"242","K811",2,"Colecistitis cronica","",2001,"Quintero"
"243","K818",1,"Otras colecistitis","",2001,"Quintero"
"244","K828",1,"Otras enfermedades especificadas de la vesicula biliar","",2001,"Quintero"
"245","K833",1,"Fistula del conducto biliar","",2001,"Quintero"
"246","K861",1,"Otras pancreatitis cronicas","",2001,"Quintero"
"247","K920",4,"Hematemesis","",2001,"Quintero"
"248","K921",1,"Melena","",2001,"Quintero"
"249","K922",16,"Hemorragia gastrointestinal, no especificada","",2001,"Quintero"
"250","K929",2,"Enfermedad del sistema digestivo, no especificada","",2001,"Quintero"
"251","L021",2,"Absceso cutaneo, furunculo y antrax de la cuello","",2001,"Quintero"
"252","L022",2,"Absceso cutaneo, furunculo y antrax del tronco","",2001,"Quintero"
"253","L023",2,"Absceso cutaneo, furunculo y antrax de gluteos","",2001,"Quintero"
"254","L024",4,"Absceso cutaneo, furunculo y antrax de miembro","",2001,"Quintero"
"255","L029",2,"Absceso cutaneo, furunculo y antrax de sitio no especificado","",2001,"Quintero"
"256","L030",1,"Celulitis de los dedos de la mano y del pie","",2001,"Quintero"
"257","L031",11,"Celulitis de otras partes de los miembros","",2001,"Quintero"
"258","L032",1,"Celulitis de la cara","",2001,"Quintero"
"259","L039",1,"Celulitis de sitio no especificado","",2001,"Quintero"
"260","L100",4,"Penfigo vulgar","",2001,"Quintero"
"261","L109",1,"Penfigo, no especificado","",2001,"Quintero"
"262","L282",1,"Otros prurigos","",2001,"Quintero"
"263","L538",1,"Otras afecciones eritematosas especificadas","",2001,"Quintero"
"264","L721",1,"Quiste tricodermico","",2001,"Quintero"
"265","L729",1,"Quiste folicular de la piel y del tejido subcutaneo, sin otra especificacion","",2001,"Quintero"
"266","L984",1,"Ulcera cronica de la piel, no clasificada en otra parte","",2001,"Quintero"
"267","M109",2,"Gota, no especificada","",2001,"Quintero"
"268","M139",2,"Artritis, no especificada","",2001,"Quintero"
"269","M169",4,"Coxartrosis, no especificada","",2001,"Quintero"
"270","M179",1,"Gonartrosis, no especificada","",2001,"Quintero"
"271","M189",1,"Artrosis de la primera articulacion carpometacarpiana, sin otra especificacion","",2001,"Quintero"
"272","M201",3,"Hallux valgus (adquirido)","",2001,"Quintero"
"273","M224",1,"Condromalacia de la rotula","",2001,"Quintero"
"274","M228",1,"Otros trastornos de la rotula","",2001,"Quintero"
"275","M232",1,"Trastorno del menisco debido a desgarro o lesion antigua","",2001,"Quintero"
"276","M233",2,"Otros trastornos de los meniscos","",2001,"Quintero"
"277","M236",1,"Otra ruptura espontanea del (de los) ligamento(s) de la rodilla","",2001,"Quintero"
"278","M239",1,"Trastornos interno de la rodilla, no especificado","",2001,"Quintero"
"279","M255",1,"Dolor en articulacion","",2001,"Quintero"
"280","M321",1,"Lupus eritematoso sistemico con compromiso de organos o sistemas","",2001,"Quintero"
"281","M431",1,"Espondilolistesis","",2001,"Quintero"
"282","M480",2,"Estenosis espinal","",2001,"Quintero"
"283","M502",1,"Otros desplazamientos del disco cervical","",2001,"Quintero"
"284","M512",7,"Otros desplazamientos especificados de disco intervertebral","",2001,"Quintero"
"285","M544",4,"Lumbago con ciatica","",2001,"Quintero"
"286","M545",1,"Lumbago no especificado","",2001,"Quintero"
"287","M549",1,"Dorsalgia, no especificada","",2001,"Quintero"
"288","M678",1,"Otros trastornos especificados de la sinovia y del tendon","",2001,"Quintero"
"289","M713",1,"Otros quistes de la bolsa serosa","",2001,"Quintero"
"290","M750",1,"Capsulitis adhesiva del hombro","",2001,"Quintero"
"291","M751",1,"Sindrome de manguito rotatorio","",2001,"Quintero"
"292","M758",1,"Otras lesiones del hombro","",2001,"Quintero"
"293","M771",1,"Epicondilitis lateral","",2001,"Quintero"
"294","M795",1,"Cuerpo extraño residual en tejido blando","",2001,"Quintero"
"295","M799",1,"Trastorno de los tejidos blandos, no especificado","",2001,"Quintero"
"296","M819",1,"Osteoporosis no especificada, sin fractura patologica","",2001,"Quintero"
"297","M878",1,"Otras osteonecrosis","",2001,"Quintero"
"298","M939",2,"Osteocondropatia, no especificada","",2001,"Quintero"
"299","M960",1,"Seudoartrosis consecutiva a fusion o artrodesis","",2001,"Quintero"
"300","N029",2,"Hematuria recurrente y persistente: no especificada","",2001,"Quintero"
"301","N049",1,"Sindrome nefrotico: no especificada","",2001,"Quintero"
"302","N058",1,"Sindrome nefritico no especificado: otras","",2001,"Quintero"
"303","N133",1,"Otras hidronefrosis y las no especificadas","",2001,"Quintero"
"304","N178",1,"Otras insuficiencias renales agudas","",2001,"Quintero"
"305","N180",1,"Insuficiencia renal terminal","",2001,"Quintero"
"306","N189",12,"Insuficiencia renal cronica, no especificada","",2001,"Quintero"
"307","N200",4,"Calculo del riñon","",2001,"Quintero"
"308","N201",3,"Calculo del ureter","",2001,"Quintero"
"309","N209",1,"Calculo urinario, no especificado","",2001,"Quintero"
"310","N390",18,"Infeccion de vias urinarias, sitio no especificado","",2001,"Quintero"
"311","N393",1,"Incontinencia urinaria por tension","",2001,"Quintero"
"312","N410",1,"Prostatitis aguda","",2001,"Quintero"
"313","N433",4,"Hidrocele, no especificado","",2001,"Quintero"
"314","N459",1,"Orquitis, epididimitis y orquiepididimitis sin absceso","",2001,"Quintero"
"315","N481",1,"Balanopostitis","",2001,"Quintero"
"316","N509",1,"Trastorno no especificado de los organos genitales masculinos","",2001,"Quintero"
"317","N709",2,"Salpingitis y ooforitis, no especificadas","",2001,"Quintero"
"318","N739",1,"Enfermedad inflamatoria pelvica femenina, no especificada","",2001,"Quintero"
"319","N751",1,"Absceso de la glandula de bartholin","",2001,"Quintero"
"320","N813",6,"Prolapso uterovaginal completo","",2001,"Quintero"
"321","N814",1,"Prolapso uterovaginal, sin otra especificacion","",2001,"Quintero"
"322","N818",1,"Otros prolapsos genitales femeninos","",2001,"Quintero"
"323","N819",1,"Prolapso genital femenino, no especificado","",2001,"Quintero"
"324","N830",1,"Quiste folicular del ovario","",2001,"Quintero"
"325","N832",3,"Otros quistes ovaricos y los no especificados","",2001,"Quintero"
"326","N840",1,"Polipo del cuerpo del utero","",2001,"Quintero"
"327","N841",1,"Polipo del cuello del utero","",2001,"Quintero"
"328","N848",1,"Polipo de otras partes del tracto genital femenino","",2001,"Quintero"
"329","N850",1,"Hiperplasia de glandula del endometrio","",2001,"Quintero"
"330","N879",1,"Displasia del cuello del utero, no especificada","",2001,"Quintero"
"331","N883",1,"Incompetencia del cuello del utero","",2001,"Quintero"
"332","N911",1,"Amenorrea secundaria","",2001,"Quintero"
"333","N920",2,"Menstruacion excesiva y frecuente con ciclo regular","",2001,"Quintero"
"334","N921",4,"Menstruacion excesiva y frecuente con ciclo irregular","",2001,"Quintero"
"335","N926",2,"Menstruacion irregular, no especificada","",2001,"Quintero"
"336","N946",2,"Dismenorrea, no especificada","",2001,"Quintero"
"337","N950",2,"Hemorragia postmenopausica","",2001,"Quintero"
"338","N979",2,"Infertilidad femenina, no especificada","",2001,"Quintero"
"339","O000",1,"Embarazo abdominal","",2001,"Quintero"
"340","O001",2,"Embarazo tubarico","",2001,"Quintero"
"341","O009",5,"Embarazo ectopico, no especificado","",2001,"Quintero"
"342","O020",2,"Detencion del desarrollo del huevo y mola no hidatiforme","",2001,"Quintero"
"343","O021",6,"Aborto retenido","",2001,"Quintero"
"344","O034",12,"Aborto espontaneo: incompleto, sin complicacion","",2001,"Quintero"
"345","O039",4,"Aborto espontaneo: completo o no especificado, sin complicacion","",2001,"Quintero"
"346","O064",6,"Aborto no especificado: incompleto, sin complicacion","",2001,"Quintero"
"347","O068",1,"Aborto no especificado: completo o no especificado, con otras complicaciones especificadas y las no especificadas","",2001,"Quintero"
"348","O069",9,"Aborto no especificado: completo o no especificado, sin complicacion","",2001,"Quintero"
"349","O089",1,"Complicacion no especificada consecutiva al aborto, al embarazo ectopico y al embarazo molar","",2001,"Quintero"
"350","O120",2,"Edema gestacional","",2001,"Quintero"
"351","O141",1,"Preeclampsia severa","",2001,"Quintero"
"352","O149",2,"Preeclampsia, no especificada","",2001,"Quintero"
"353","O200",15,"Amenaza de aborto","",2001,"Quintero"
"354","O209",1,"Hemorragia precoz del embarazo, sin otra especificacion","",2001,"Quintero"
"355","O210",2,"Hiperemesis gravidica leve","",2001,"Quintero"
"356","O230",1,"Infeccion del riñon en el embarazo","",2001,"Quintero"
"357","O234",1,"Infeccion no especificada de las vias urinarias en el embarazo","",2001,"Quintero"
"358","O239",16,"Otras infeccion y las no especificadas de las vias genitourinarias en el embarazo","",2001,"Quintero"
"359","O244",3,"Diabetes mellitus que se origina en el embarazo","",2001,"Quintero"
"360","O249",6,"Diabetes mellitus no especificada, en el embarazo","",2001,"Quintero"
"361","O266",2,"Trastorno del higado en el embarazo, el parto y el puerperio","",2001,"Quintero"
"362","O268",8,"Otras complicaciones especificadas relacionadas con el embarazo","",2001,"Quintero"
"363","O269",14,"Complicacion relacionada con el embarazo, no especificada","",2001,"Quintero"
