"","id10","N","dec10","grp10","anio"
"52","D477",1,"Otros tumores especificados de comportamiento incierto o desconocido del tejido linfatico, de los organos hematopoyeticos y de tejidos afines","",2001
"53","D480",1,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular","",2001
"54","D485",1,"Tumor de comportamiento incierto o desconocido de la piel","",2001
"55","D486",5,"Tumor de comportamiento incierto o desconocido de la mama","",2001
"56","D487",2,"Tumor de comportamiento incierto o desconocido de otros sitios especificados","",2001
"57","D509",1,"Anemia por deficiencia de hierro sin otra especificacion","",2001
"58","D593",1,"Sindrome hemolitico","",2001
"59","D619",4,"Anemia aplastica, sin otra especificacion","",2001
"60","D649",4,"Anemia de tipo no especificado","",2001
"61","D694",1,"Otras trombocitopenias primarias","",2001
"62","D759",1,"Enfermedad de la sangre y de los organos hematopoyeticos, no especificada","",2001
"63","E040",1,"Bocio difuso no toxico","",2001
"64","E050",2,"Tirotoxicosis con bocio difuso","",2001
"65","E059",2,"Tirotoxicosis, no especificada","",2001
"66","E108",1,"Diabetes mellitus insulinodependiente con complicaciones no especificadas","",2001
"67","E115",5,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas","",2001
"68","E116",2,"Diabetes mellitus no insulinodependiente con otras complicaciones especificadas","",2001
"69","E118",1,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas","",2001
"70","E119",2,"Diabetes mellitus no insulinodependiente sin mencion de complicacion","",2001
"71","E136",1,"Otras diabetes mellitus especificadas con otras complicaciones especificadas","",2001
"72","E145",11,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas","",2001
"73","E147",1,"Diabetes mellitus, no especificada con complicaciones multiples","",2001
"74","E148",1,"Diabetes mellitus, no especificada con complicaciones no especificadas","",2001
"75","E149",6,"Diabetes mellitus, no especificada sin mencion de complicacion","",2001
"76","E162",2,"Hipoglicemia , no especificada","",2001
"77","E271",1,"Insuficiencia corticosuprarrenal primaria","",2001
"78","E348",1,"Otros trastornos endocrinos especificados","",2001
"79","E440",1,"Desnutricion proteicocalorica moderada","",2001
"80","E441",1,"Desnutricion proteicocalorica leve","",2001
"81","E755",1,"Otros trastornos del almacenamiento de lipidos","",2001
"82","E781",1,"Hipergliceridemia pura","",2001
"83","E849",2,"Fibrosis quistica, sin otra especificacion","",2001
"84","E878",1,"Otros trastornos del equilibrio de los electrolitos y de los liquidos, no clasificados en otra parte","",2001
"85","E881",1,"Lipodistrofia, no clasificada en otra parte","",2001
"86","F019",1,"Demencia vascular, no especificada","",2001
"87","F063",1,"Trastornos del humor [afectivos], organicos","",2001
"88","F069",15,"Trastorno mental no especificado debido a lesion y disfuncion cerebral y a enfermedad fisica","",2001
"89","F172",1,"Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome de dependencia","",2001
"90","F192",2,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia","",2001
"91","F200",1,"Esquizofrenia paranoide","",2001
"92","F209",24,"Esquizofrenia, no especificada","",2001
"93","F302",1,"Mania con sintomas psicoticos","",2001
"94","F310",1,"Trastorno afectivo bipolar, episodio hipomaniaco presente","",2001
"95","F319",4,"Trastorno afectivo bipolar, no especificado","",2001
"96","F329",1,"Episodio depresivo, no especificado","",2001
"97","F411",1,"Trastorno de ansiedad generalizada","",2001
"98","F459",1,"Trastorno somatomorfo, no especificado","",2001
"99","G008",1,"Otras meningitis bacterianas","",2001
"100","G030",2,"Meningitis apiogena","",2001
"101","G301",1,"Enfermedad de alzheimer comienzo tardio","",2001
"102","G439",3,"Migraña, no especificada","",2001
"103","G442",1,"Cefalea debida a tension","",2001
"104","G458",1,"Otras isquemias cerebrales transitorias y sindromes afines","",2001
"105","G560",5,"Sindrome del tunel carpiano","",2001
"106","G561",1,"Otras lesiones del nervio mediano","",2001
"107","G629",1,"Polineuropatia, no especificada","",2001
"108","G822",1,"Paraplejia, no especificada","",2001
"109","G939",1,"Trastorno del encefalo, no especificado","",2001
"110","H000",1,"Orzuelo y otras inflamaciones profundas del parpado","",2001
"111","H181",1,"Queratopatia vesicular","",2001
"112","H259",1,"Catarata senil, no especificada","",2001
"113","H269",11,"Catarata, no especificada","",2001
"114","H271",1,"Luxacion del cristalino","",2001
"115","H353",1,"Degeneracion de la macula y del polo posterior del ojo","",2001
"116","H402",1,"Glaucoma primario de angulo cerrado","",2001
"117","H409",2,"Glaucoma, no especificado","",2001
"118","H431",1,"Hemorragia del vitreo","",2001
"119","H522",1,"Astigmatismo","",2001
"120","H571",1,"Dolor ocular","",2001
"121","H651",1,"Otra otitis media aguda, no supurativa","",2001
"122","H662",1,"Otitis media supurativa cronica aticoantral","",2001
"123","H819",3,"Trastorno de la funcion vestibular, no especificado","",2001
"124","H919",1,"Hipoacusia, no especificada","",2001
"125","H922",1,"Otorragia","",2001
"126","I050",2,"Estenosis mitral","",2001
"127","I051",1,"Insuficiencia mitral reumatica","",2001
"128","I080",1,"Trastornos de las valvulas mitral y aortica","",2001
"129","I119",2,"Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)","",2001
"130","I120",1,"Enfermedad renal hipertensiva con insuficiencia renal","",2001
"131","I200",2,"Angina inestable","",2001
"132","I209",1,"Angina de pecho, no especificada","",2001
"133","I219",4,"Infarto agudo del miocardio, sin otra especificacion","",2001
"134","I256",1,"Isquemia silente del miocardio","",2001
"135","I259",9,"Enfermedad isquemia cronica del corazon, no especificada","",2001
"136","I313",1,"Derrame pericardico (no inflamatorio)","",2001
"137","I350",2,"Estenosis (de la valvula) aortica","",2001
"138","I420",1,"Cardiomiopatia dilatada","",2001
"139","I442",1,"Bloqueo auriculoventricular completo","",2001
"140","I460",1,"Paro cardiaco con resucitacion exitosa","",2001
"141","I469",3,"Paro cardiaco, no especificado","",2001
"142","I498",1,"Otras arritmias cardiacas especificadas","",2001
"143","I500",2,"Insuficiencia cardiaca congestiva","",2001
"144","I501",1,"Insuficiencia ventricular izquierda","",2001
"145","I509",20,"Insuficiencia cardiaca, no especificada","",2001
"146","I516",1,"Enfermedad cardiovascular, no especificada","",2001
"147","I519",10,"Enfermedad cardiaca, no especificada","",2001
"148","I619",5,"Hemorragia intraencefalica, no especificada","",2001
"149","I620",1,"Hemorragia subdural (aguda) (no traumatica)","",2001
"150","I629",1,"Hemorragia intracraneal (no traumatica), no especificada","",2001
"151","I678",15,"Otras enfermedades cerebrovasculares especificadas","",2001
"152","I679",1,"Enfermedad cerebrovascular, no especificada","",2001
"153","I718",1,"Ruptura de aneurisma aortico, sitio no especificado","",2001
"154","I739",1,"Enfermedad vascular periferica, no especificada","",2001
"155","I809",1,"Flebitis y tromboflebitis de sitio no especificado","",2001
"156","I829",2,"Embolia y trombosis de vena no especificada","",2001
"157","I830",3,"Venas varicosas de los miembros inferiores con ulcera","",2001
"158","I831",1,"Venas varicosas de los miembros inferiores con inflamacion","",2001
"159","I832",1,"Venas varicosas de los miembros inferiores con ulcera e inflamacion","",2001
"160","I839",7,"Venas varicosas de los miembros inferiores sin ulcera ni inflamacion","",2001
"161","I843",1,"Hemorroides externas trombosadas","",2001
"162","I848",1,"Hemorroides no especificadas, con otras complicaciones","",2001
"163","I849",2,"Hemorroides no especificadas, sin complicacion","",2001
"164","I861",1,"Varices escrotales","",2001
"165","I879",1,"Trastorno venoso, no especificado","",2001
"166","I880",1,"Linfadenitis mesenterica inespecifica","",2001
"167","I889",1,"Linfadenitis inespecifica no especificada","",2001
"168","J019",1,"Sinusitis aguda, no especificada","",2001
"169","J029",1,"Faringitis aguda, no especificada","",2001
"170","J050",3,"Laringitis obstructiva, aguda [crup]","",2001
"171","J110",1,"Influenza con neumonia, virus no identificado","",2001
"172","J129",1,"Neumonia viral, no especificada","",2001
"173","J157",1,"Neumonia debida a mycoplasma pneumoniae","",2001
"174","J159",1,"Neumonia bacteriana, no especificada","",2001
"175","J180",27,"Bronconeumonia, no especificada","",2001
"176","J181",2,"Neumonia lobar, no especificada","",2001
"177","J189",77,"Neumonia, no especificada","",2001
"178","J209",24,"Bronquitis aguda, no especificada","",2001
"179","J219",3,"Bronquiolitis aguda, no especificada","",2001
"180","J342",5,"Desviacion del tabique nasal","",2001
"181","J350",2,"Amigdalitis cronica","",2001
"182","J351",1,"Hipertrofia de las amigdalas","",2001
"183","J353",8,"Hipertrofia de las amigdalas con hipertrofia de las adenoides","",2001
"184","J358",3,"Otras enfermedades cronicas de las amigdalas y de las adenoides","",2001
"185","J381",1,"Polipo de las cuerdas vocales y de la laringe","",2001
"186","J448",15,"Otras enfermedades pulmonares obstructivas cronicas especificadas","",2001
"187","J449",6,"Enfermedad pulmonar obstructiva cronica, no especificada","",2001
"188","J459",2,"Asma, no especificada","",2001
"189","J690",1,"Neumonitis debida a aspiracion de alimento o vomito","",2001
"190","J841",1,"Otras enfermedades pulmonares intersticiales con fibrosis","",2001
"191","J869",2,"Piotorax sin fistula","",2001
"192","J930",1,"Neumotorax espontaneo a presion","",2001
"193","J960",1,"Insuficiencia respiratoria aguda","",2001
"194","J984",5,"Otros trastornos del pulmon","",2001
"195","J988",1,"Otros trastornos respiratorios especificados","",2001
"196","K047",3,"Absceso periapical sin fistula","",2001
"197","K100",1,"Trastornos del desarrollo de los maxilares","",2001
"198","K116",1,"Mucocele de glandula salival","",2001
"199","K210",1,"Enfermedad del reflujo gastroesofagico con esofagitis","",2001
"200","K219",1,"Enfermedad del reflujo gastroesofagico sin esofagitis","",2001
"201","K259",3,"Ulcera gastrica no especificada como aguda ni cronica, sin hemorragia ni perforacion","",2001
"202","K264",1,"Ulcera duodenal cronica o no especificada, con hemorragia","",2001
"203","K271",1,"Ulcera peptica, de sitio no especificado aguda con perforacion","",2001
"204","K291",3,"Otras gastritis agudas","",2001
"205","K314",1,"Diverticulo gastrico","",2001
"206","K350",3,"Apendicitis aguda con peritonitis generalizada","",2001
"207","K351",1,"Apendicitis aguda con absceso peritoneal","",2001
"208","K359",36,"Apendicitis aguda, no especificada","",2001
"209","K402",1,"Hernia inguinal bilateral, sin obstruccion ni gangrena","",2001
"210","K409",28,"Hernia inguinal unilateral o no especificada, sin obstrucion ni gangrena","",2001
"211","K419",2,"Hernia femoral unilateral o no especificada, sin obstruccion ni gangrena","",2001
"212","K429",4,"Hernia umbilical sin obstruccion ni gangrena","",2001
"213","K439",12,"Hernia ventral sin obstruccion ni gangrena","",2001
"214","K449",2,"Hernia diafragmatica sin obstruccion ni gangrena","",2001
"215","K529",6,"Colitis y gastroenteritis no infecciosas, no especificadas","",2001
"216","K552",1,"Angiodisplasia del colon","",2001
"217","K564",1,"Otras obstrucciones del intestino","",2001
"218","K566",2,"Otras obstrucciones intestinales y las no especificadas","",2001
"219","K571",1,"Enfermedad diverticular del intestino delgado sin perforacion ni absceso","",2001
"220","K579",2,"Enfermedad diverticular del intestino, parte no especificada, sin perforacion ni absceso","",2001
"221","K590",3,"Constipacion","",2001
"222","K599",1,"Trastorno funcional intestinal, no especificado","",2001
"223","K610",1,"Absceso anal","",2001
"224","K624",1,"Estenosis del ano y del recto","",2001
"225","K625",2,"Hemorragia del ano y del recto","",2001
"226","K626",1,"Ulcera del ano y del recto","",2001
"227","K628",3,"Otras enfermedades especificadas del ano y del recto","",2001
"228","K650",2,"Peritonitis aguda","",2001
"229","K659",1,"Peritonitis, no especificada","",2001
"230","K703",4,"Cirrosis hepatica alcoholica","",2001
"231","K709",5,"Enfermedad hepatica alcoholica, no especificada","",2001
"232","K719",1,"Enfermedad toxica del higado, no especificada","",2001
"233","K720",3,"Insuficiencia hepatica aguda o subaguda","",2001
"234","K746",7,"Otras cirrosis del higado y la no especificadas","",2001
"235","K750",1,"Absceso del higado","",2001
"236","K800",2,"Calculo de la vesicula biliar con colecistitis aguda","",2001
"237","K801",3,"Calculo de la vesicula biliar con otra colecistitis","",2001
"238","K802",25,"Calculo de la vesicula biliar sin colecistitis","",2001
"239","K804",3,"Calculo de conducto biliar con colecistitis","",2001
"240","K805",13,"Calculo de conducto biliar sin colangitis ni colecistitis","",2001
"241","K810",16,"Colecistitis aguda","",2001
"242","K811",2,"Colecistitis cronica","",2001
"243","K818",1,"Otras colecistitis","",2001
"244","K828",1,"Otras enfermedades especificadas de la vesicula biliar","",2001
"245","K833",1,"Fistula del conducto biliar","",2001
"246","K861",1,"Otras pancreatitis cronicas","",2001
"247","K920",4,"Hematemesis","",2001
"248","K921",1,"Melena","",2001
"249","K922",16,"Hemorragia gastrointestinal, no especificada","",2001
"250","K929",2,"Enfermedad del sistema digestivo, no especificada","",2001
"251","L021",2,"Absceso cutaneo, furunculo y antrax de la cuello","",2001
"252","L022",2,"Absceso cutaneo, furunculo y antrax del tronco","",2001
"253","L023",2,"Absceso cutaneo, furunculo y antrax de gluteos","",2001
"254","L024",4,"Absceso cutaneo, furunculo y antrax de miembro","",2001
"255","L029",2,"Absceso cutaneo, furunculo y antrax de sitio no especificado","",2001
"256","L030",1,"Celulitis de los dedos de la mano y del pie","",2001
"257","L031",11,"Celulitis de otras partes de los miembros","",2001
"258","L032",1,"Celulitis de la cara","",2001
"259","L039",1,"Celulitis de sitio no especificado","",2001
"260","L100",4,"Penfigo vulgar","",2001
"261","L109",1,"Penfigo, no especificado","",2001
"262","L282",1,"Otros prurigos","",2001
"263","L538",1,"Otras afecciones eritematosas especificadas","",2001
"264","L721",1,"Quiste tricodermico","",2001
"265","L729",1,"Quiste folicular de la piel y del tejido subcutaneo, sin otra especificacion","",2001
"266","L984",1,"Ulcera cronica de la piel, no clasificada en otra parte","",2001
"267","M109",2,"Gota, no especificada","",2001
"268","M139",2,"Artritis, no especificada","",2001
"269","M169",4,"Coxartrosis, no especificada","",2001
"270","M179",1,"Gonartrosis, no especificada","",2001
"271","M189",1,"Artrosis de la primera articulacion carpometacarpiana, sin otra especificacion","",2001
"272","M201",3,"Hallux valgus (adquirido)","",2001
"273","M224",1,"Condromalacia de la rotula","",2001
"274","M228",1,"Otros trastornos de la rotula","",2001
"275","M232",1,"Trastorno del menisco debido a desgarro o lesion antigua","",2001
"276","M233",2,"Otros trastornos de los meniscos","",2001
"277","M236",1,"Otra ruptura espontanea del (de los) ligamento(s) de la rodilla","",2001
"278","M239",1,"Trastornos interno de la rodilla, no especificado","",2001
"279","M255",1,"Dolor en articulacion","",2001
"280","M321",1,"Lupus eritematoso sistemico con compromiso de organos o sistemas","",2001
"281","M431",1,"Espondilolistesis","",2001
"282","M480",2,"Estenosis espinal","",2001
"283","M502",1,"Otros desplazamientos del disco cervical","",2001
"284","M512",7,"Otros desplazamientos especificados de disco intervertebral","",2001
"285","M544",4,"Lumbago con ciatica","",2001
"286","M545",1,"Lumbago no especificado","",2001
"287","M549",1,"Dorsalgia, no especificada","",2001
"288","M678",1,"Otros trastornos especificados de la sinovia y del tendon","",2001
"289","M713",1,"Otros quistes de la bolsa serosa","",2001
"290","M750",1,"Capsulitis adhesiva del hombro","",2001
"291","M751",1,"Sindrome de manguito rotatorio","",2001
"292","M758",1,"Otras lesiones del hombro","",2001
"293","M771",1,"Epicondilitis lateral","",2001
"294","M795",1,"Cuerpo extraño residual en tejido blando","",2001
"295","M799",1,"Trastorno de los tejidos blandos, no especificado","",2001
"296","M819",1,"Osteoporosis no especificada, sin fractura patologica","",2001
"297","M878",1,"Otras osteonecrosis","",2001
"298","M939",2,"Osteocondropatia, no especificada","",2001
"299","M960",1,"Seudoartrosis consecutiva a fusion o artrodesis","",2001
"300","N029",2,"Hematuria recurrente y persistente: no especificada","",2001
"301","N049",1,"Sindrome nefrotico: no especificada","",2001
"302","N058",1,"Sindrome nefritico no especificado: otras","",2001
"303","N133",1,"Otras hidronefrosis y las no especificadas","",2001
"304","N178",1,"Otras insuficiencias renales agudas","",2001
"305","N180",1,"Insuficiencia renal terminal","",2001
"306","N189",12,"Insuficiencia renal cronica, no especificada","",2001
"307","N200",4,"Calculo del riñon","",2001
"308","N201",3,"Calculo del ureter","",2001
"309","N209",1,"Calculo urinario, no especificado","",2001
"310","N390",18,"Infeccion de vias urinarias, sitio no especificado","",2001
"311","N393",1,"Incontinencia urinaria por tension","",2001
"312","N410",1,"Prostatitis aguda","",2001
"313","N433",4,"Hidrocele, no especificado","",2001
"314","N459",1,"Orquitis, epididimitis y orquiepididimitis sin absceso","",2001
"315","N481",1,"Balanopostitis","",2001
"316","N509",1,"Trastorno no especificado de los organos genitales masculinos","",2001
"317","N709",2,"Salpingitis y ooforitis, no especificadas","",2001
"318","N739",1,"Enfermedad inflamatoria pelvica femenina, no especificada","",2001
"319","N751",1,"Absceso de la glandula de bartholin","",2001
"320","N813",6,"Prolapso uterovaginal completo","",2001
"321","N814",1,"Prolapso uterovaginal, sin otra especificacion","",2001
"322","N818",1,"Otros prolapsos genitales femeninos","",2001
"323","N819",1,"Prolapso genital femenino, no especificado","",2001
"324","N830",1,"Quiste folicular del ovario","",2001
"325","N832",3,"Otros quistes ovaricos y los no especificados","",2001
"326","N840",1,"Polipo del cuerpo del utero","",2001
"327","N841",1,"Polipo del cuello del utero","",2001
"328","N848",1,"Polipo de otras partes del tracto genital femenino","",2001
"329","N850",1,"Hiperplasia de glandula del endometrio","",2001
"330","N879",1,"Displasia del cuello del utero, no especificada","",2001
"331","N883",1,"Incompetencia del cuello del utero","",2001
"332","N911",1,"Amenorrea secundaria","",2001
"333","N920",2,"Menstruacion excesiva y frecuente con ciclo regular","",2001
"334","N921",4,"Menstruacion excesiva y frecuente con ciclo irregular","",2001
"335","N926",2,"Menstruacion irregular, no especificada","",2001
"336","N946",2,"Dismenorrea, no especificada","",2001
"337","N950",2,"Hemorragia postmenopausica","",2001
"338","N979",2,"Infertilidad femenina, no especificada","",2001
"339","O000",1,"Embarazo abdominal","",2001
"340","O001",2,"Embarazo tubarico","",2001
"341","O009",5,"Embarazo ectopico, no especificado","",2001
"342","O020",2,"Detencion del desarrollo del huevo y mola no hidatiforme","",2001
"343","O021",6,"Aborto retenido","",2001
"344","O034",12,"Aborto espontaneo: incompleto, sin complicacion","",2001
"345","O039",4,"Aborto espontaneo: completo o no especificado, sin complicacion","",2001
"346","O064",6,"Aborto no especificado: incompleto, sin complicacion","",2001
"347","O068",1,"Aborto no especificado: completo o no especificado, con otras complicaciones especificadas y las no especificadas","",2001
"348","O069",9,"Aborto no especificado: completo o no especificado, sin complicacion","",2001
"349","O089",1,"Complicacion no especificada consecutiva al aborto, al embarazo ectopico y al embarazo molar","",2001
"350","O120",2,"Edema gestacional","",2001
"351","O141",1,"Preeclampsia severa","",2001
"352","O149",2,"Preeclampsia, no especificada","",2001
"353","O200",15,"Amenaza de aborto","",2001
"354","O209",1,"Hemorragia precoz del embarazo, sin otra especificacion","",2001
"355","O210",2,"Hiperemesis gravidica leve","",2001
"356","O230",1,"Infeccion del riñon en el embarazo","",2001
"357","O234",1,"Infeccion no especificada de las vias urinarias en el embarazo","",2001
"358","O239",16,"Otras infeccion y las no especificadas de las vias genitourinarias en el embarazo","",2001
"359","O244",3,"Diabetes mellitus que se origina en el embarazo","",2001
"360","O249",6,"Diabetes mellitus no especificada, en el embarazo","",2001
"361","O266",2,"Trastorno del higado en el embarazo, el parto y el puerperio","",2001
"362","O268",8,"Otras complicaciones especificadas relacionadas con el embarazo","",2001
"363","O269",14,"Complicacion relacionada con el embarazo, no especificada","",2001
"364","O335",1,"Atencion materna por desproporcion debida a feto demasiado grande","",2001
"365","O342",5,"Atencion materna por cicatriz uterina debida a cirugia previa","",2001
"366","O346",1,"Atencion materna por anormalidad de la vagina","",2001
"367","O348",1,"Atencion materna por anormalidades de los organos pelvianos","",2001
"368","O352",1,"Atencion materna por (presunta) enfermedad hereditaria en el feto","",2001
"369","O360",1,"Atencion materna por isoinmunizacion rhesus","",2001
"370","O366",2,"Atencion materna por crecimiento fetal excesivo","",2001
"371","O368",2,"Atencion materna por otros problemas fetales especificados","",2001
"372","O410",1,"Oligohidramnios","",2001
"373","O429",3,"Ruptura prematura de las membranas, sin otra especificacion","",2001
"374","O441",1,"Placenta previa con hemorragia","",2001
"375","O469",2,"Hemorragia anteparto, no especificada","",2001
"376","O470",21,"Falso trabajo de parto antes de la 37 semanas completas de gestacion","",2001
"377","O471",1,"Falso trabajo de parto antes de la 37 y mas semanas completas de gestacion","",2001
"378","O479",14,"Falso trabajo de parto sin otra especificacion","",2001
"379","O664",1,"Fracaso de la prueba del trabajo de parto, no especificada","",2001
"380","O689",1,"Trabajo de parto y parto complicados por sufrimiento fetal, sin otra especificacion","",2001
"381","O709",1,"Desgarro perineal durante el parto, de grado no especificado","",2001
"382","O756",1,"Retraso del parto despues de la ruptura espontanea o no especificada de las membranas","",2001
"383","O800",7,"Parto unico espontaneo, presentacion cefalica de vertice","",2001
"384","O808",1,"Parto unico espontaneo, otras presentaciones","",2001
"385","O809",187,"Parto unico espontaneo, sin otra especificacion","",2001
"386","O813",4,"Parto con forceps de otros tipos y los no especificados","",2001
"387","O828",1,"Otros partos unicos por cesarea","",2001
"388","O829",74,"Parto por cesarea, sin otra especificacion","",2001
"389","O839",1,"Parto unico asistido, sin otra especificacion","",2001
"390","O862",1,"Infeccion de las vias urinarias consecutiva al parto","",2001
"391","O901",2,"Dehiscencia de sutura obstetrica perineal","",2001
"392","O908",1,"Otras complicaciones puerperales, no clasificadas en otra parte","",2001
"393","O912",1,"Mastitis no purulenta asociada con el parto","",2001
"394","O981",1,"Sifilis que complica el embarazo, el parto y el puerperio","",2001
"395","O986",1,"Enfermedades causadas por protozoarios que complican el embarazo, el parto y el puerperio","",2001
"396","O990",1,"Anemia que complica el embarazo, el parto y el puerperio","",2001
"397","O996",1,"Enfermedades del sistema digestivo que complican el embarazo, el parto y el puerperio","",2001
"398","O998",1,"Otras enfermedades especificadas y afecciones que complican el embarazo, el parto y el puerperio","",2001
"399","P003",1,"Feto y recien nacido afectados por enfermedades circulatorias y respiratorias de la madre","",2001
"400","P006",1,"Feto y recien nacido afectados por procedimiento quirurgico de la madre","",2001
"401","P009",1,"Feto y recien nacido afectados por afeccion materna no especificada","",2001
"402","P073",4,"Otros recien nacidos pretermino","",2001
"403","P209",1,"Hipoxia intrauterina, no especificada","",2001
"404","P220",5,"Sindrome de dificultad respiratoria del recien nacido","",2001
"405","P241",1,"Aspiracion neonatal del liquido amniotico y de moco","",2001
"406","P288",1,"Otros problemas respiratorios especificados del recien nacido","",2001
"407","P551",1,"Incompatibilidad abo del feto y del recien nacido","",2001
"408","P593",1,"Ictericia neonatal por inhibidor de la leche materna","",2001
"409","P599",9,"Ictericia neonatal, no especificada","",2001
"410","P611",1,"Policitemia neonatal","",2001
"411","P618",2,"Otros trastornos hematologicos perinatales especificados","",2001
"412","Q039",1,"Hidrocefalo congenito, no especificado","",2001
"413","Q059",1,"Espina bifida, no especificada","",2001
"414","Q150",1,"Glaucoma congenito","",2001
"415","Q181",1,"Seno y quiste preauricular","",2001
"416","Q210",1,"Defecto del tabique ventricular","",2001
"417","Q211",1,"Defecto del tabique auricular","",2001
"418","Q379",1,"Fisura del paladar con labio leporino unilateral, sin otra especificacion","",2001
"419","Q501",2,"Quiste en desarrollo del ovario","",2001
"420","Q539",2,"Testiculo no descendido, sin otra especificacion","",2001
"421","Q550",1,"Ausencia y aplasia del testiculo","",2001
"422","Q668",3,"Otras deformidades congenitas de los pies","",2001
"423","Q699",1,"Polidactilia, no especificada","",2001
"424","Q709",1,"Sindactilia, no especificada","",2001
"425","Q727",1,"Pie hendido","",2001
"426","Q740",1,"Otras malformaciones congenitas de (de los) miembro(s) superior(es), incluida la cintura escapular","",2001
"427","Q741",1,"Malformacion congenita de la rodilla","",2001
"428","Q790",2,"Hernia diafragmatica congenita","",2001
"429","Q839",1,"Malformacion congenita de la mama, no especificada","",2001
"430","Q892",1,"Malformaciones congenitas otras glandulas endocrinas","",2001
"431","Q909",1,"Sindrome de down, no especificado","",2001
"432","R072",1,"Dolor precordial","",2001
"433","R100",2,"Abdomen agudo","",2001
"434","R102",3,"Dolor pelvico y perineal","",2001
"435","R104",21,"Otros dolores abdominales y los no especificados","",2001
"436","R160",1,"Hepatomegalia, no clasificada en otra parte","",2001
"437","R190",2,"Tumefaccion, masa o prominencia intraabdominal y pelvica","",2001
"438","R222",1,"Tumefaccion, masa o prominencia localizada en el tronco","",2001
"439","R224",1,"Tumefaccion, masa o prominencia localizada en el miembro inferior","",2001
