"","id10","COMUNA","dec10","N2001","N2002","N2003","N2004","N2005","N2006","N2007","N2008","N2009","N2010","N2011","N2012","N2013","N2014","N2015","N2016","N2017"
"21","A049",6101,"Infeccion intestinal bacteriana, no especificada",9,9,9,13,11,13,10,7,20,17,5,11,3,2,10,7,1
"22","A059",13114,"Intoxicacion alimentaria bacteriana, no especificada",17,13,10,2,11,7,7,15,22,10,8,9,8,8,5,8,4
"23","A059",2101,"Intoxicacion alimentaria bacteriana, no especificada",25,15,19,9,17,24,10,9,12,4,10,5,2,5,4,3,1
"24","A059",5109,"Intoxicacion alimentaria bacteriana, no especificada",3,7,11,7,10,12,9,6,8,4,5,1,3,4,5,1,2
"25","A059",8101,"Intoxicacion alimentaria bacteriana, no especificada",10,7,13,7,12,11,1,5,5,1,4,2,1,1,12,2,1
"26","A060",4106,"Disenteria amebiana aguda",1,1,4,11,19,18,1,5,6,9,5,7,5,1,4,2,4
"27","A080",10101,"Enteritis debida a rotavirus",30,53,19,12,22,13,11,7,23,3,12,11,62,40,44,20,38
"28","A080",10301,"Enteritis debida a rotavirus",12,31,22,27,64,34,37,49,84,63,42,45,63,39,27,20,37
"29","A080",1101,"Enteritis debida a rotavirus",5,4,23,19,17,9,18,22,21,12,8,38,14,9,31,14,23
"30","A080",12101,"Enteritis debida a rotavirus",4,3,9,7,3,3,1,3,25,21,7,5,8,2,3,7,6
"31","A080",13101,"Enteritis debida a rotavirus",46,46,44,40,60,37,59,38,59,47,28,48,33,34,36,33,25
"32","A080",13102,"Enteritis debida a rotavirus",5,7,12,10,10,3,6,10,12,2,6,3,5,6,7,7,4
"33","A080",13103,"Enteritis debida a rotavirus",1,4,5,4,13,13,6,6,10,7,3,4,5,11,5,6,6
"34","A080",13104,"Enteritis debida a rotavirus",8,20,10,10,24,15,23,14,39,24,15,16,15,7,11,14,19
"35","A080",13105,"Enteritis debida a rotavirus",7,19,16,29,35,14,24,17,33,22,21,16,12,10,14,8,5
"36","A080",13106,"Enteritis debida a rotavirus",10,11,12,11,23,15,19,11,13,7,6,8,4,10,8,5,4
"37","A080",13107,"Enteritis debida a rotavirus",17,22,21,20,41,17,31,12,30,27,6,20,10,20,15,7,25
"38","A080",13108,"Enteritis debida a rotavirus",10,9,12,9,18,9,15,12,27,8,11,14,8,8,16,18,27
"39","A080",13109,"Enteritis debida a rotavirus",7,12,7,9,9,8,11,11,14,15,9,9,12,5,8,9,8
"40","A080",13110,"Enteritis debida a rotavirus",27,42,22,30,45,36,42,31,68,45,27,33,40,24,44,40,51
"41","A080",13111,"Enteritis debida a rotavirus",4,6,17,9,8,2,4,3,8,9,9,6,11,7,1,11,20
"42","A080",13112,"Enteritis debida a rotavirus",1,7,18,12,8,2,5,5,3,13,9,4,6,6,5,9,50
"43","A080",13113,"Enteritis debida a rotavirus",27,45,29,17,16,6,13,15,14,18,14,12,10,19,5,16,8
"44","A080",13114,"Enteritis debida a rotavirus",70,111,110,70,80,46,71,46,76,75,44,31,52,54,51,52,32
"45","A080",13115,"Enteritis debida a rotavirus",20,38,40,22,27,18,25,22,17,23,10,13,12,17,14,17,9
"46","A080",13116,"Enteritis debida a rotavirus",9,13,9,10,17,7,9,4,16,10,6,8,8,10,9,8,4
"47","A080",13117,"Enteritis debida a rotavirus",1,11,6,6,7,7,12,4,8,7,5,5,5,12,4,7,1
"48","A080",13118,"Enteritis debida a rotavirus",13,16,7,7,8,8,6,6,18,6,9,18,14,12,10,15,11
"49","A080",13119,"Enteritis debida a rotavirus",42,56,59,70,81,60,68,46,74,57,45,39,36,55,47,24,101
"50","A080",13120,"Enteritis debida a rotavirus",31,28,44,31,42,33,31,19,38,26,15,18,22,24,20,19,21
"51","A080",13121,"Enteritis debida a rotavirus",4,12,11,7,12,8,9,7,19,13,6,13,6,8,6,5,2
"52","A080",13122,"Enteritis debida a rotavirus",13,39,25,23,31,12,13,18,31,18,12,42,40,20,20,47,36
"53","A080",13123,"Enteritis debida a rotavirus",29,36,29,31,47,27,27,20,25,23,20,16,29,17,14,24,15
"54","A080",13124,"Enteritis debida a rotavirus",11,12,9,12,20,15,21,14,25,18,11,18,20,23,21,13,14
"55","A080",13125,"Enteritis debida a rotavirus",23,21,21,23,49,23,19,16,58,28,19,29,33,30,31,27,40
"56","A080",13126,"Enteritis debida a rotavirus",7,6,10,11,14,2,6,8,10,9,9,8,6,12,8,9,4
"57","A080",13127,"Enteritis debida a rotavirus",13,4,17,10,30,17,24,12,27,22,18,20,24,20,19,28,25
"58","A080",13128,"Enteritis debida a rotavirus",2,8,4,4,9,4,8,8,11,9,10,9,10,14,7,10,14
"59","A080",13129,"Enteritis debida a rotavirus",9,12,17,13,11,5,8,9,19,11,6,3,11,7,9,4,8
"60","A080",13130,"Enteritis debida a rotavirus",11,12,16,16,20,6,13,18,23,22,11,8,11,7,15,13,14
"61","A080",13131,"Enteritis debida a rotavirus",3,7,3,7,6,2,5,1,5,8,6,4,4,6,3,7,21
"62","A080",13132,"Enteritis debida a rotavirus",29,33,32,11,22,17,26,15,21,22,18,10,22,18,10,20,16
"63","A080",13201,"Enteritis debida a rotavirus",21,31,26,19,44,22,22,23,65,30,24,33,44,45,27,25,26
"64","A080",13301,"Enteritis debida a rotavirus",2,9,8,10,16,11,14,5,18,19,11,11,18,9,20,17,25
"65","A080",13302,"Enteritis debida a rotavirus",3,2,2,2,11,5,11,11,13,9,4,17,7,11,7,16,24
"66","A080",13401,"Enteritis debida a rotavirus",9,43,33,35,53,50,53,41,64,41,34,19,31,17,27,14,14
"67","A080",13402,"Enteritis debida a rotavirus",4,8,3,16,27,21,41,11,19,66,36,45,46,39,18,15,10
"68","A080",13404,"Enteritis debida a rotavirus",1,2,3,7,14,14,31,4,3,28,28,24,33,30,17,17,4
"69","A080",13601,"Enteritis debida a rotavirus",8,2,5,6,4,2,5,1,3,5,4,1,7,5,1,4,8
"70","A080",13605,"Enteritis debida a rotavirus",3,6,5,9,7,3,9,6,2,3,2,6,9,6,6,4,9
"71","A080",2101,"Enteritis debida a rotavirus",50,31,40,56,78,36,56,68,57,63,33,12,27,21,35,30,48
"72","A080",2201,"Enteritis debida a rotavirus",5,2,1,1,5,4,13,6,18,23,47,18,11,15,7,5,7
"73","A080",4101,"Enteritis debida a rotavirus",1,17,8,11,21,15,24,32,45,57,15,15,11,31,3,1,3
"74","A080",4102,"Enteritis debida a rotavirus",4,4,5,7,6,15,13,42,21,25,21,7,11,15,9,1,6
"75","A080",4301,"Enteritis debida a rotavirus",14,34,21,21,19,19,8,15,39,21,30,6,16,16,7,22,11
"76","A080",5101,"Enteritis debida a rotavirus",27,40,59,53,61,43,52,35,61,60,67,57,42,38,28,29,35
"77","A080",5109,"Enteritis debida a rotavirus",20,54,84,72,81,69,68,85,59,56,72,59,51,56,20,41,62
"78","A080",5301,"Enteritis debida a rotavirus",4,13,13,7,9,3,3,2,7,3,4,3,3,3,7,4,14
"79","A080",5501,"Enteritis debida a rotavirus",8,14,30,26,15,7,10,8,3,7,10,18,10,15,8,11,14
"80","A080",5502,"Enteritis debida a rotavirus",6,2,8,5,9,1,8,13,9,6,17,10,6,5,2,3,8
"81","A080",5504,"Enteritis debida a rotavirus",3,3,5,2,4,1,5,1,2,2,3,5,2,1,1,3,4
"82","A080",5506,"Enteritis debida a rotavirus",3,1,6,4,3,2,1,5,5,3,4,4,1,1,1,3,1
"83","A080",5601,"Enteritis debida a rotavirus",35,26,22,30,22,7,20,15,39,29,16,20,31,22,13,17,39
"84","A080",5701,"Enteritis debida a rotavirus",6,26,5,6,3,2,3,12,6,1,5,3,3,4,1,2,2
"85","A080",6101,"Enteritis debida a rotavirus",48,64,86,47,55,36,39,22,54,46,34,43,32,20,18,15,16
"86","A080",6108,"Enteritis debida a rotavirus",9,8,14,7,8,6,4,4,7,5,1,2,3,3,4,6,2
"87","A080",6302,"Enteritis debida a rotavirus",1,1,2,4,3,1,2,1,2,1,1,2,5,6,3,3,4
"88","A080",6310,"Enteritis debida a rotavirus",12,9,9,9,16,16,7,11,11,8,8,13,14,9,1,11,17
"89","A080",7101,"Enteritis debida a rotavirus",22,22,17,10,20,19,21,21,23,17,10,24,29,12,10,9,16
"90","A080",7102,"Enteritis debida a rotavirus",5,20,9,12,9,2,3,10,8,3,4,4,6,4,1,6,7
"91","A080",7301,"Enteritis debida a rotavirus",11,11,11,7,7,4,20,19,20,15,11,5,2,5,8,5,8
"92","A080",7304,"Enteritis debida a rotavirus",2,17,27,17,19,8,9,10,7,6,9,8,8,5,4,1,2
"93","A080",7401,"Enteritis debida a rotavirus",23,41,27,19,21,19,23,28,32,25,37,15,11,33,16,14,13
"94","A080",8101,"Enteritis debida a rotavirus",40,53,51,28,56,118,36,15,35,30,17,14,14,12,17,17,20
"95","A080",8102,"Enteritis debida a rotavirus",34,37,13,10,36,31,46,48,58,65,65,68,65,81,20,62,48
"96","A080",8108,"Enteritis debida a rotavirus",13,20,22,26,20,2,14,13,21,17,10,11,13,3,4,6,9
"97","A080",8110,"Enteritis debida a rotavirus",63,57,56,68,39,11,24,23,20,18,9,9,19,24,14,7,14
"98","A080",8111,"Enteritis debida a rotavirus",8,2,15,2,4,1,1,1,1,20,24,5,1,1,3,4,4
"99","A080",8301,"Enteritis debida a rotavirus",35,41,29,48,35,14,27,26,47,41,18,41,16,55,59,44,29
"100","A080",8306,"Enteritis debida a rotavirus",3,1,2,2,7,11,4,6,12,5,6,4,4,8,3,9,3
"101","A080",8401,"Enteritis debida a rotavirus",14,14,25,6,8,7,3,8,5,4,5,4,4,3,15,15,17
"102","A080",8416,"Enteritis debida a rotavirus",8,11,7,7,12,9,5,17,9,6,5,3,1,1,6,3,3
"103","A080",9101,"Enteritis debida a rotavirus",68,79,88,48,84,70,46,24,54,22,20,4,17,13,23,18,26
"104","A080",9112,"Enteritis debida a rotavirus",7,13,10,8,5,10,2,4,18,3,4,1,6,4,2,6,6
"105","A080",9115,"Enteritis debida a rotavirus",16,11,9,2,12,15,29,15,9,8,14,7,15,7,6,11,15
"106","A080",9211,"Enteritis debida a rotavirus",18,16,20,2,6,4,4,12,33,27,16,8,12,5,8,4,4
"107","A083",13101,"Otras enteritis virales",1,3,3,1,1,8,4,5,6,2,3,1,2,8,8,9,9
"108","A083",13114,"Otras enteritis virales",1,2,3,4,3,7,5,3,5,6,10,3,7,16,11,14,25
"109","A083",13122,"Otras enteritis virales",4,9,1,22,19,6,11,7,13,10,15,7,2,3,2,7,4
"110","A083",5101,"Otras enteritis virales",2,1,1,1,2,3,2,2,8,4,3,1,1,1,1,2,8
"111","A083",5109,"Otras enteritis virales",6,3,2,1,3,22,20,16,17,26,21,14,26,15,5,1,20
"112","A084",10101,"Infeccion intestinal viral, sin otra especificacion",4,17,23,39,71,88,70,59,44,46,29,20,25,34,14,4,18
"113","A084",10301,"Infeccion intestinal viral, sin otra especificacion",14,21,29,31,49,101,54,44,50,38,40,19,29,26,3,4,2
"114","A084",12101,"Infeccion intestinal viral, sin otra especificacion",55,53,40,48,63,68,34,23,25,16,6,9,7,13,6,1,15
"115","A084",13101,"Infeccion intestinal viral, sin otra especificacion",8,8,9,6,6,19,10,7,14,5,14,7,3,5,5,8,2
"116","A084",13110,"Infeccion intestinal viral, sin otra especificacion",10,7,7,10,5,7,5,4,9,2,3,6,9,2,2,3,2
"117","A084",13114,"Infeccion intestinal viral, sin otra especificacion",11,10,12,14,10,17,3,16,24,18,6,18,15,13,18,8,11
"118","A084",13119,"Infeccion intestinal viral, sin otra especificacion",15,29,24,7,9,15,16,12,13,2,4,8,3,7,22,19,5
"119","A084",13122,"Infeccion intestinal viral, sin otra especificacion",7,6,3,2,11,4,5,5,3,8,5,10,5,3,6,7,2
"120","A084",13124,"Infeccion intestinal viral, sin otra especificacion",1,7,6,1,4,8,2,1,3,2,1,2,1,1,1,5,1
"121","A084",13125,"Infeccion intestinal viral, sin otra especificacion",5,4,8,6,11,34,15,9,12,15,2,9,2,1,3,2,1
"122","A084",13132,"Infeccion intestinal viral, sin otra especificacion",2,4,6,2,4,2,4,4,5,5,2,2,10,6,4,6,3
"123","A084",13201,"Infeccion intestinal viral, sin otra especificacion",5,7,7,6,4,8,4,2,9,5,4,13,12,2,5,7,5
"124","A084",2201,"Infeccion intestinal viral, sin otra especificacion",12,17,36,38,23,15,32,32,8,5,3,3,13,13,11,8,4
"125","A084",5101,"Infeccion intestinal viral, sin otra especificacion",19,22,5,2,9,4,2,7,4,5,7,8,1,2,7,6,6
"126","A084",5109,"Infeccion intestinal viral, sin otra especificacion",52,67,16,10,7,4,4,5,11,6,7,1,4,5,23,7,8
"127","A084",6101,"Infeccion intestinal viral, sin otra especificacion",21,20,39,48,77,139,68,48,53,31,31,20,16,21,28,23,27
"128","A084",7102,"Infeccion intestinal viral, sin otra especificacion",1,3,6,1,5,5,4,1,5,2,8,16,37,17,17,14,20
"129","A084",8101,"Infeccion intestinal viral, sin otra especificacion",6,3,14,14,16,30,5,14,21,12,5,6,4,2,5,2,3
"130","A084",8110,"Infeccion intestinal viral, sin otra especificacion",2,1,30,17,24,22,30,31,24,26,17,12,12,19,8,8,5
"131","A084",8111,"Infeccion intestinal viral, sin otra especificacion",5,6,8,11,6,6,2,2,1,4,8,12,1,1,4,1,2
"132","A084",9109,"Infeccion intestinal viral, sin otra especificacion",4,3,3,1,1,20,15,1,11,6,6,4,12,8,1,8,5
"133","A150",13129,"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo",1,3,2,5,10,6,10,7,4,7,11,6,6,4,5,3,4
"134","A150",8110,"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo",4,22,27,35,12,8,3,4,11,7,12,7,2,2,1,6,4
"135","A153",8401,"Tuberculosis del pulmon , confirmada por medios no especificados",25,16,4,11,23,23,21,12,23,17,26,21,17,26,19,11,10
"136","A162",10101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",24,10,17,7,19,15,14,13,22,15,14,11,12,15,6,8,6
"137","A162",10108,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",1,1,5,2,1,2,1,2,1,7,1,4,2,4,4,3,3
"138","A162",10301,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",14,15,8,13,14,11,7,10,6,5,1,2,3,4,4,6,3
"139","A162",1101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",8,1,11,4,5,7,6,11,14,17,16,7,7,7,3,4,4
"140","A162",12101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",19,22,34,20,25,22,25,14,10,10,6,6,9,15,3,2,4
"141","A162",13101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",51,43,53,73,51,22,45,32,36,12,13,12,12,13,24,7,8
"142","A162",13103,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",14,10,9,12,5,3,4,8,2,6,4,2,3,7,5,8,6
"143","A162",13104,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",10,9,10,8,15,5,6,11,11,5,8,6,5,2,7,3,6
"144","A162",13105,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",7,9,3,7,6,3,8,4,6,8,6,4,4,8,5,6,4
"145","A162",13106,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",64,77,29,40,29,31,27,20,8,9,5,2,4,1,7,7,3
"146","A162",13108,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",2,2,3,12,6,6,7,5,5,5,4,4,3,2,4,8,8
"147","A162",13110,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",23,20,16,14,15,16,17,7,11,10,20,9,13,8,10,6,9
"148","A162",13112,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",19,24,18,10,15,14,9,8,10,10,13,5,5,6,12,8,15
"149","A162",13119,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",27,21,23,15,19,17,9,16,11,2,4,3,4,13,8,17,4
"150","A162",13124,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",12,9,4,10,7,2,7,5,3,6,2,5,2,6,6,4,12
"151","A162",13125,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",1,4,2,6,8,1,4,7,1,2,2,3,2,1,1,7,7
"152","A162",13127,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",20,9,15,10,8,17,11,10,11,10,12,13,8,9,14,12,11
"153","A162",13128,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",10,17,8,4,11,7,7,7,1,5,3,8,4,14,6,4,7
"154","A162",13131,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",18,14,7,12,6,4,12,7,9,10,8,2,4,2,6,7,3
"155","A162",13201,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",28,26,18,29,30,13,30,14,8,14,26,15,14,8,23,20,32
"156","A162",13401,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",8,7,14,12,12,15,7,13,9,7,12,10,6,6,3,8,12
"157","A162",13501,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",12,13,2,3,1,4,6,6,5,6,11,6,3,10,1,3,5
"158","A162",2101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",37,24,24,28,21,21,19,19,22,21,11,18,22,21,5,5,16
"159","A162",2201,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",5,5,18,9,5,4,7,7,5,2,5,8,11,2,1,1,2
"160","A162",3301,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",3,1,5,3,1,1,1,6,3,3,1,2,1,8,1,4,2
"161","A162",4101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",1,7,8,6,5,1,3,2,5,3,4,6,4,3,7,12,8
"162","A162",4102,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",14,12,11,11,6,11,9,7,5,10,5,3,2,5,6,2,5
"163","A162",4301,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",10,5,9,8,12,9,7,8,14,8,7,5,8,5,3,2,8
"164","A162",5101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",69,52,29,59,33,25,45,44,52,57,52,60,51,24,32,31,39
"165","A162",5109,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",31,30,26,27,20,29,22,29,27,36,18,20,19,21,21,17,21
"166","A162",5501,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",12,14,4,12,13,12,1,4,1,9,4,2,1,4,4,4,1
"167","A162",5601,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",1,5,7,6,7,1,3,2,9,1,5,7,7,2,6,4,6
"168","A162",6101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",17,16,19,24,23,16,11,18,20,10,10,14,10,8,6,7,12
"169","A162",6115,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",5,5,3,6,7,9,4,2,5,1,1,1,3,2,1,1,4
"170","A162",7101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",5,18,13,12,4,6,5,5,6,7,6,1,7,3,2,5,8
"171","A162",7201,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",6,4,5,6,3,5,5,3,2,4,6,3,1,2,4,3,2
"172","A162",7401,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",9,13,13,14,1,7,5,13,10,5,5,3,1,1,5,2,1
"173","A162",8101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",23,22,23,16,12,17,7,11,12,9,9,12,14,7,12,8,24
"174","A162",8102,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",18,12,17,12,4,16,10,8,6,7,17,20,14,13,12,9,10
"175","A162",8103,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",8,12,8,5,9,3,3,2,2,4,5,6,4,5,5,4,3
"176","A162",8108,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",9,10,14,4,8,6,4,5,7,5,7,8,8,6,2,5,9
"177","A162",8109,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",3,2,1,1,2,7,4,2,4,4,5,2,3,5,4,4,2
"178","A162",8203,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",8,9,11,5,10,8,2,5,1,4,2,4,2,5,1,1,1
"179","A162",8301,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",10,10,21,22,25,7,15,13,13,10,11,6,8,9,14,7,4
"180","A162",8402,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",2,7,10,3,3,3,5,13,13,3,1,2,13,7,5,2,7
"181","A162",9101,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",47,28,21,24,40,36,16,3,10,25,43,11,14,18,16,11,3
"182","A162",9102,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",6,6,13,10,6,7,10,4,4,4,2,3,4,11,11,3,1
"183","A162",9106,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",3,2,1,8,6,5,4,1,2,4,3,1,2,7,3,2,2
"184","A162",9112,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",10,18,13,11,18,18,12,9,4,10,9,4,8,4,9,10,6
"185","A162",99999,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",18,21,16,21,18,17,7,24,23,7,11,15,12,5,12,23,24
"186","A165",5101,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica e histologica",3,5,4,8,11,1,4,6,5,5,4,10,3,3,3,2,6
"187","A169",13128,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica",3,5,1,1,5,1,6,3,5,1,1,2,2,1,1,2,2
"188","A169",5101,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica",4,6,7,8,3,7,11,6,8,19,7,5,3,4,11,4,8
"189","A169",8101,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica",7,25,14,22,11,11,15,2,1,2,2,3,7,3,2,1,2
"190","A379",10101,"Tos ferina, no especificada",11,16,8,15,9,20,17,13,14,23,33,67,39,23,38,23,10
"191","A379",13101,"Tos ferina, no especificada",14,7,9,8,17,10,17,14,6,9,28,18,10,10,10,11,7
"192","A379",13103,"Tos ferina, no especificada",8,12,11,6,13,8,12,13,6,2,15,28,20,28,5,9,3
"193","A379",13105,"Tos ferina, no especificada",11,15,13,9,24,22,19,19,22,4,3,7,11,4,16,14,11
"194","A379",13106,"Tos ferina, no especificada",8,9,8,8,19,10,6,12,6,3,16,7,4,2,5,6,4
"195","A379",13110,"Tos ferina, no especificada",14,17,16,20,21,12,15,7,6,11,14,20,26,8,17,7,5
"196","A379",13111,"Tos ferina, no especificada",7,16,25,12,15,18,8,10,6,7,13,8,14,7,10,11,4
"197","A379",13112,"Tos ferina, no especificada",24,26,43,40,25,40,31,24,18,24,38,20,32,29,29,8,3
"198","A379",13117,"Tos ferina, no especificada",6,6,4,8,7,11,3,2,3,2,10,19,10,12,5,4,2
"199","A379",13118,"Tos ferina, no especificada",24,8,5,10,9,7,5,6,8,8,9,2,2,1,2,2,2
"200","A379",13119,"Tos ferina, no especificada",32,26,21,19,32,17,32,22,11,12,36,24,7,17,15,6,11
"201","A379",13122,"Tos ferina, no especificada",46,27,20,21,27,26,19,21,14,18,28,14,5,4,5,4,6
"202","A379",13123,"Tos ferina, no especificada",9,6,5,7,5,6,5,3,4,8,4,7,2,4,5,1,1
"203","A379",13124,"Tos ferina, no especificada",8,8,11,9,17,8,14,17,10,7,25,33,34,33,18,9,8
"204","A379",13125,"Tos ferina, no especificada",9,7,9,3,8,9,2,9,6,7,6,4,4,2,2,4,2
"205","A379",13126,"Tos ferina, no especificada",9,11,3,3,10,5,11,7,7,5,16,13,10,12,8,5,4
"206","A379",13128,"Tos ferina, no especificada",10,12,18,12,7,7,10,16,12,6,23,27,24,29,9,8,4
"207","A379",13129,"Tos ferina, no especificada",5,4,4,6,5,8,8,2,1,4,4,2,1,2,6,4,4
"208","A379",13131,"Tos ferina, no especificada",13,10,13,17,12,4,23,2,10,9,21,7,7,4,12,2,2
"209","A379",13201,"Tos ferina, no especificada",16,26,25,39,39,35,23,34,18,21,43,30,15,21,31,27,34
"210","A379",13401,"Tos ferina, no especificada",14,36,29,24,49,40,24,26,24,39,27,16,16,15,11,19,19
"211","A379",13402,"Tos ferina, no especificada",3,9,9,4,4,4,3,9,8,5,8,6,3,4,1,9,3
"212","A379",13404,"Tos ferina, no especificada",4,7,6,4,4,6,5,4,10,2,7,2,6,4,1,5,1
"213","A379",2101,"Tos ferina, no especificada",8,4,4,17,13,7,10,10,23,4,14,24,14,7,3,6,11
"214","A379",2201,"Tos ferina, no especificada",3,6,7,15,5,1,4,6,4,1,4,3,3,2,4,2,6
"215","A379",4101,"Tos ferina, no especificada",9,5,2,8,6,5,8,3,9,8,15,6,8,11,6,3,7
